Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
"Titanium Ti-10V-2Fe-3Al (Ti 10-2-3), Anneal 1 hr. 760°C","{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': 'After aging.'}","{'metric_value': '900', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '970', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '9.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.6 - 3.4 %', '2.6 - 3.4 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '1.6 - 2.2 %', '1.6 - 2.2 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Titanium, Ti', '82.855 - 86.8 %', '82.855 - 86.8 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '9.0 - 11 %', '9.0 - 11 %', ''], [''], [], ['Crystal Structure', 'bcc', 'Beta, predominant'], ['', 'cph', 'Alpha']]"
"Titanium Ti-8Mo-8V-2Fe-3Al, ST 785°C, Aged 600°C","{'metric_value': '4.85', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '94.0', 'metric_unit': 'GPa', 'comment': 'Sample was ST 800ºC , Aged 595ºC'}","{'metric_value': '980', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1090', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '2.0 %', '2.0 %', ''], ['Molybdenum, Mo', '8.0 %', '8.0 %', ''], ['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '0.10 - 0.16 %', '0.10 - 0.16 %', ''], ['Sulfur, S', '<= 0.010 %', '<= 0.010 %', ''], ['Titanium, Ti', '79 %', '79 %', ''], ['Vanadium, V', '8.0 %', '8.0 %', '']]"
Matexcel MET-0022 Titanium-based TC18 Powder,,,,,,,,"[['Aluminum, Al', '4.4 - 5.7 %', '4.4 - 5.7 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Chromium, Cr', '0.50 - 1.5 %', '0.50 - 1.5 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '0.50 - 1.5 %', '0.50 - 1.5 %', ''], ['Molybdenum, Mo', '4.0 - 5.5 %', '4.0 - 5.5 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '0.10 %', '0.10 %', ''], ['Other, total', '0.30 %', '0.30 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Silicon, Si', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '79.225 - 86.3 %', '79.225 - 86.3 %', ''], ['Vanadium, V', '4.0 - 5.5 %', '4.0 - 5.5 %', ''], ['Zirconium, Zr', '<= 0.30 %', '<= 0.30 %', '']]"
Titanium Transage 134 Triplex Heat Treat 815/565/480°C,"{'metric_value': '4.73', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': 'Typical Value for STA beta titanium alloy.'}","{'metric_value': '1210', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1270', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '980', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.5 %', '2.5 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '77.5 %', '77.5 %', ''], ['Vanadium, V', '12 %', '12 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '6.0 %', '6.0 %', '']]"
"Titanium Ti-16V-2.5Al, Duplex Annealed","{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '95.8', 'metric_unit': 'GPa', 'comment': 'Longitudinal'}","{'metric_value': '1000', 'metric_unit': 'MPa', 'comment': 'Longitudinal'}",,,"{'metric_value': '0.527', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '2.5 %', '2.5 %', ''], ['Titanium, Ti', '81.5 %', '81.5 %', ''], ['Vanadium, V', '16 %', '16 %', '']]"
"Titanium Ti-8Al-1Mo-1V (Ti-8-1-1), Beta Solution Treated","{'metric_value': '4.37', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '120', 'metric_unit': 'GPa', 'comment': 'unspecified heat treatment'}","{'metric_value': '870', 'metric_unit': 'MPa', 'comment': ''}",,,"{'metric_value': '0.502', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '7.35 - 8.35 %', '7.35 - 8.35 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '0.75 - 1.25 %', '0.75 - 1.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '88.185 - 91.15 %', '88.185 - 91.15 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '0.75 - 1.25 %', '0.75 - 1.25 %', '']]"
Universal Wire Works 6Al-4V (AMS 4954) Titanium Alloy Filler Metal,,,"{'metric_value': '827', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '896', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '<= 6.75 %', '<= 6.75 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Other', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '>= 87.775 %', '>= 87.775 %', 'As Remainder'], ['Vanadium, V', '<= 4.5 %', '<= 4.5 %', '']]"
Matexcel MET-0060 Pure Ti Powder,,,,,,,,[]
"Titanium Ti-8V-5Fe-1Al, Annealed","{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '114', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1233', 'metric_unit': 'MPa', 'comment': ''}",,,,,"[['Aluminum, Al', '0.80 - 1.5 %', '0.80 - 1.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Iron, Fe', '4.0 - 6.0 %', '4.0 - 6.0 %', ''], ['Nitrogen, N', '<= 0.070 %', '<= 0.070 %', ''], ['Oxygen, O', '0.25 - 0.50 %', '0.25 - 0.50 %', ''], ['Titanium, Ti', '86 %', '86 %', ''], ['Vanadium, V', '7.5 - 8.5 %', '7.5 - 8.5 %', '']]"
"ATI Wah Chang 425™ Titanium Alloy, Hot Rolled & Annealed Plate","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '114', 'metric_unit': 'GPa', 'comment': 'Long.'}","{'metric_value': '876', 'metric_unit': 'MPa', 'comment': 'Long.'}","{'metric_value': '965', 'metric_unit': 'MPa', 'comment': 'Long.'}",,,,"[['Aluminum, Al', '4.0 %', '4.0 %', ''], ['Iron, Fe', '1.5 %', '1.5 %', ''], ['O2', '0.25 %', '0.25 %', ''], ['Titanium, Ti', '91.75 %', '91.75 %', ''], ['Vanadium, V', '2.5 %', '2.5 %', '']]"
Johnson Matthey Tri-flo™ 950 Titanium Brazing Filler Metal,,,,,,,,"[['Copper, Cu', '15 %', '15 %', ''], ['Nickel, Ni', '15 %', '15 %', ''], ['Titanium, Ti', '70 %', '70 %', '']]"
Universal Wire Works 8Al-1Mo-1V (AMS 4955) Titanium Alloy Filler Metal,,,,,,,,"[['Aluminum, Al', '8.0 %', '8.0 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.010 %', '<= 0.010 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '1.0 %', '1.0 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '>= 89.04 %', '>= 89.04 %', 'As Remainder'], ['Vanadium, V', '1.0 %', '1.0 %', '']]"
Proto3000 Ti64 MIM - ASTM F2885 As-Sintered,"{'metric_value': '4.25', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '680', 'metric_unit': 'MPa', 'comment': 'ASTM E8M'}","{'metric_value': '780', 'metric_unit': 'MPa', 'comment': 'ASTM E8M'}",,,,"[['Aluminum, Al', '5.50 - 6.75 %', '5.50 - 6.75 %', ''], ['Titanium, Ti', '88.75 - 91.0 %', '88.75 - 91.0 %', 'Balance'], ['Vanadium, V', '3.50 - 4.50 %', '3.50 - 4.50 %', '']]"
Titanium Ti-6Al-2Sn-2Zr-2Mo-2Cr-.25Si,"{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '123', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1070', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1160', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '290', 'metric_unit': 'MPa', 'comment': 'notched'}","{'metric_value': '0.500', 'metric_unit': 'J/g-°C', 'comment': 'Estimated from similar materials'}","[{'value': '9.40 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Carbon, C', '<= 0.040 %', '<= 0.040 %', ''], ['Chromium, Cr', '2.0 %', '2.0 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '2.0 %', '2.0 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.14 %', '<= 0.14 %', ''], ['Silicon, Si', '0.25 %', '0.25 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '86 %', '86 %', ''], ['Zirconium, Zr', '2.0 %', '2.0 %', '']]"
Universal Wire Works Commercially Pure (AMS 4951) Titanium Alloy Filler Metal,,,"{'metric_value': '172', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '345', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other', '<= 0.60 %', '<= 0.60 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '98.885 - 100 %', '98.885 - 100 %', 'As Remainder']]"
Universal Wire Works Commercially Pure (AMS 4951) Titanium Alloy Filler Metal,,,"{'metric_value': '172', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '345', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other', '<= 0.60 %', '<= 0.60 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '98.885 - 100 %', '98.885 - 100 %', 'As Remainder']]"
Matexcel MET-0015 Titanium-based TA19 Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.0125 %', '<= 0.0125 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Tin, Sn', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Titanium, Ti', '84.2575 - 87.3 %', '84.2575 - 87.3 %', ''], ['Zirconium, Zr', '<= 0.13 %', '<= 0.13 %', ''], ['', '3.6 - 4.4 %', '3.6 - 4.4 %', '']]"
Ti15Mo5Zr3Al ß titanium alloy,,"{'metric_value': '75.0', 'metric_unit': 'GPa', 'comment': 'Solution heat treated at 840°C'}","{'metric_value': '870', 'metric_unit': 'MPa', 'comment': '0.2%, solution heat treatment at 840°C'}","{'metric_value': '882', 'metric_unit': 'MPa', 'comment': 'solution heat treatment at 840°C'}",,,,"[['Aluminum, Al', '3.8 %', '3.8 %', ''], ['Molybdenum, Mo', '15 %', '15 %', ''], ['Titanium, Ti', '76.2 %', '76.2 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
Universal Wire Works 6Al-4V (ELI) (AMS 4956) Titanium Alloy Filler Metal,,,"{'metric_value': '827', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '896', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '<= 6.75 %', '<= 6.75 %', ''], ['Carbon, C', '<= 0.030 %', '<= 0.030 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Nitrogen, N', '<= 0.012 %', '<= 0.012 %', ''], ['Other', '<= 0.10 %', '<= 0.10 %', ''], ['Oxygen, O', '<= 0.080 %', '<= 0.080 %', ''], ['Titanium, Ti', '>= 88.273 %', '>= 88.273 %', 'As Remainder'], ['Vanadium, V', '<= 4.5 %', '<= 4.5 %', '']]"
Deutsche Titan Tikrutan RT 20 Commercially Pure Titanium,"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '108', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '390', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '54', 'metric_unit': '0', 'comment': ''}",,"{'metric_value': '0.520', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '9.40 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]","[['Carbon, C', '<= 0.060 %', '<= 0.060 %', ''], ['Hydrogen, H', '<= 0.013 %', '<= 0.013 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.35 %', '<= 0.35 %', ''], ['Titanium, Ti', '>= 99.227 %', '>= 99.227 %', '']]"
Goodfellow Titanium 65/Aluminum 35 Alloy,,,,,,,,"[['Aluminum, Al', '35 %', '35 %', ''], ['Titanium, Ti', '65 %', '65 %', '']]"
"Titanium Ti-13V-2.7Al-7Sn-2Zr, ST 815°C, Aged 580°C","{'metric_value': '4.70', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': 'Sample was ST 815ºC, Aged 540ºC'}","{'metric_value': '1120', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1210', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '378', 'metric_unit': 'MPa', 'comment': 'unnotched'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.7 %', '2.7 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '7.0 %', '7.0 %', ''], ['Titanium, Ti', '75 %', '75 %', ''], ['Vanadium, V', '13 %', '13 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '2.0 %', '2.0 %', '']]"
"Titanium IMI 679 (Ti-11Sn-5Zr-2.25Al-1Mo-0.25Si), Oil-Quenched and Aged","{'metric_value': '4.84', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '115', 'metric_unit': 'GPa', 'comment': 'Typical value for an alpha titanium alloy'}","{'metric_value': '970', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1110', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'MPa', 'comment': 'Kt= 3.0; R = -1.0 (air-cooled and aged sample)'}","{'metric_value': '0.500', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '2.25 %', '2.25 %', ''], ['Carbon, C', '<= 0.40 %', '<= 0.40 %', ''], ['Hydrogen, H', '<= 0.0080 %', '<= 0.0080 %', ''], ['Iron, Fe', '<= 0.12 %', '<= 0.12 %', ''], ['Molybdenum, Mo', '1.0 %', '1.0 %', ''], ['Nitrogen, N', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '0.25 %', '0.25 %', ''], ['Tin, Sn', '11 %', '11 %', ''], ['Titanium, Ti', '81 %', '81 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
Titanium Beta C (Ti-3Al-8V-6Cr-4Mo-4Zr) Solution Treated 815°C,"{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '88.0', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '825', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '860', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.515', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '8.30 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Chromium, Cr', '6.0 %', '6.0 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.14 %', '<= 0.14 %', ''], ['Titanium, Ti', '75 %', '75 %', ''], ['Vanadium, V', '8.0 %', '8.0 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
"Titanium Ti-15Mo-5Zr ST 730°C, Aged 475°C","{'metric_value': '5.06', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': 'Typical Value for STA beta titanium alloy.'}","{'metric_value': '1330', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1360', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '670', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.540', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '9.20 µm/m-°C', 'start_temp': '0.000 °C', 'end_temp': '315 °C'}]","[['Hydrogen, H', '<= 0.020 %', '<= 0.020 %', ''], ['Iron, Fe', '<= 0.35 %', '<= 0.35 %', ''], ['Molybdenum, Mo', '15 %', '15 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '80 %', '80 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
"Kobe Steel KS70 Commercially Pure Titanium, ASTM Gr. 3, Annealed","{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '38', 'metric_unit': '0', 'comment': ''}","{'metric_value': '450', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.35 %', '<= 0.35 %', ''], ['Titanium, Ti', '>= 99.205 %', '>= 99.205 %', 'As Remainder']]"
Matexcel MET-0018 Titanium-based Ti6Al4V Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 6.75 %', '5.5 - 6.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '88.1 - 91 %', '88.1 - 91 %', ''], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', '']]"
"Kobe Steel KS15-3-3-3 Beta Titanium Alloy, AMS 4914, Solution treated and aged 482°C, 16 hrs - AC","{'metric_value': '4.76', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '1172', 'metric_unit': 'MPa', 'comment': '0.2% proof'}","{'metric_value': '1241', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '2.5 - 3.5 %', '2.5 - 3.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Chromium, Cr', '2.5 - 3.5 %', '2.5 - 3.5 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Tin, Sn', '2.5 - 3.5 %', '2.5 - 3.5 %', ''], ['Titanium, Ti', '>= 73.005 %', '>= 73.005 %', 'As Remainder'], ['Vanadium, V', '14 - 16 %', '14 - 16 %', '']]"
Matexcel MET-0021 Titanium-basedTC11 Powder,,,,,,,,"[['Aluminum, Al', '5.8 - 7.0 %', '5.8 - 7.0 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.010 %', '<= 0.010 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '2.8 - 3.8 %', '2.8 - 3.8 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '86.31 - 90.4 %', '86.31 - 90.4 %', ''], ['Zirconium, Zr', '0.20 - 0.35 %', '0.20 - 0.35 %', ''], ['', '0.80 - 2.0 %', '0.80 - 2.0 %', '']]"
"Titanium Ti-8Mo-8V-2Fe-3Al ST 785°C, Annealed 650°C","{'metric_value': '4.85', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '120', 'metric_unit': 'GPa', 'comment': 'Sample was ST 785ºC, Aged 480ºC'}","{'metric_value': '960', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1030', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '2.0 %', '2.0 %', ''], ['Molybdenum, Mo', '8.0 %', '8.0 %', ''], ['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '0.10 - 0.16 %', '0.10 - 0.16 %', ''], ['Sulfur, S', '<= 0.010 %', '<= 0.010 %', ''], ['Titanium, Ti', '79 %', '79 %', ''], ['Vanadium, V', '8.0 %', '8.0 %', '']]"
"Titanium Alloys, General","{'metric_value': '4.70', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': ''}",,,,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '8.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Titanium, Ti', '75 - 100 %', '75 - 100 %', '']]"
